timestamp,latitude,longitude,speed_kmh
2024-01-15T09:00:00Z,10.01590,76.34190,30
2024-01-15T09:00:10Z,10.01600,76.34200,32
2024-01-15T09:00:20Z,10.01610,76.34210,35
2024-01-15T09:00:30Z,10.01625,76.34225,40
2024-01-15T09:00:40Z,10.01640,76.34240,42
2024-01-15T09:00:50Z,10.01655,76.34250,45
2024-01-15T09:01:00Z,10.01670,76.34265,40
2024-01-15T09:01:10Z,10.01685,76.34275,35
2024-01-15T09:01:20Z,10.01700,76.34285,30
2024-01-15T09:01:30Z,10.01710,76.34300,25
2024-01-15T09:01:40Z,10.01725,76.34315,28
2024-01-15T09:01:50Z,10.01740,76.34330,32
2024-01-15T09:02:00Z,10.01750,76.34345,35
2024-01-15T09:02:10Z,10.01765,76.34360,40
2024-01-15T09:02:20Z,10.01780,76.34375,42
2024-01-15T09:02:30Z,10.01795,76.34390,45
2024-01-15T09:02:40Z,10.01810,76.34400,40
2024-01-15T09:02:50Z,10.01825,76.34415,35
2024-01-15T09:03:00Z,10.01840,76.34430,30
2024-01-15T09:03:10Z,10.01850,76.34445,25
2024-01-15T09:03:20Z,10.01865,76.34460,28
2024-01-15T09:03:30Z,10.01880,76.34475,32
2024-01-15T09:03:40Z,10.01895,76.34490,35
2024-01-15T09:03:50Z,10.01910,76.34500,40
2024-01-15T09:04:00Z,10.01925,76.34515,42
2024-01-15T09:04:10Z,10.01940,76.34530,45
2024-01-15T09:04:20Z,10.01955,76.34545,40
2024-01-15T09:04:30Z,10.01970,76.34560,35
2024-01-15T09:04:40Z,10.01985,76.34575,30
2024-01-15T09:04:50Z,10.02000,76.34590,25
2024-01-15T09:05:00Z,10.02015,76.34605,28
2024-01-15T09:05:10Z,10.02030,76.34620,32
2024-01-15T09:05:20Z,10.02045,76.34635,35
2024-01-15T09:05:30Z,10.02060,76.34650,40
2024-01-15T09:05:40Z,10.02075,76.34665,42
2024-01-15T09:05:50Z,10.02090,76.34680,45
2024-01-15T09:06:00Z,10.02105,76.34695,40
2024-01-15T09:06:10Z,10.02120,76.34710,35
2024-01-15T09:06:20Z,10.02135,76.34725,30
2024-01-15T09:06:30Z,10.02150,76.34740,25
2024-01-15T09:06:40Z,10.02165,76.34755,28
2024-01-15T09:06:50Z,10.02180,76.34770,32
2024-01-15T09:07:00Z,10.02195,76.34785,35
2024-01-15T09:07:10Z,10.02210,76.34800,40
2024-01-15T09:07:20Z,10.02225,76.34815,42
2024-01-15T09:07:30Z,10.02240,76.34830,45
2024-01-15T09:07:40Z,10.02255,76.34845,40
2024-01-15T09:07:50Z,10.02270,76.34860,35
2024-01-15T09:08:00Z,10.02285,76.34875,30
2024-01-15T09:08:10Z,10.02300,76.34890,25
2024-01-15T09:08:20Z,10.02315,76.34905,28
2024-01-15T09:08:30Z,10.02330,76.34920,32
2024-01-15T09:08:40Z,10.02345,76.34935,35
2024-01-15T09:08:50Z,10.02360,76.34950,40
2024-01-15T09:09:00Z,10.02375,76.34965,42
2024-01-15T09:09:10Z,10.02390,76.34980,45
2024-01-15T09:09:20Z,10.02405,76.34995,40
2024-01-15T09:09:30Z,10.02420,76.35010,35
2024-01-15T09:09:40Z,10.02435,76.35025,30
2024-01-15T09:09:50Z,10.02450,76.35040,25
2024-01-15T09:10:00Z,10.02465,76.35055,28
2024-01-15T09:10:10Z,10.02480,76.35070,32
2024-01-15T09:10:20Z,10.02495,76.35085,35
2024-01-15T09:10:30Z,10.02510,76.35100,40
2024-01-15T09:10:40Z,10.02525,76.35115,42
2024-01-15T09:10:50Z,10.02540,76.35130,45
2024-01-15T09:11:00Z,10.02555,76.35145,40
2024-01-15T09:11:10Z,10.02570,76.35160,35
2024-01-15T09:11:20Z,10.02585,76.35175,30
2024-01-15T09:11:30Z,10.02600,76.35190,25
2024-01-15T09:11:40Z,10.02615,76.35205,28
2024-01-15T09:11:50Z,10.02630,76.35220,32
2024-01-15T09:12:00Z,10.02645,76.35235,35
2024-01-15T09:12:10Z,10.02660,76.35250,40
2024-01-15T09:12:20Z,10.02675,76.35265,42
2024-01-15T09:12:30Z,10.02690,76.35280,45
2024-01-15T09:12:40Z,10.02705,76.35295,40
2024-01-15T09:12:50Z,10.02720,76.35310,35
2024-01-15T09:13:00Z,10.02735,76.35325,30
2024-01-15T09:13:10Z,10.02750,76.35340,25
2024-01-15T09:13:20Z,10.02765,76.35355,28
2024-01-15T09:13:30Z,10.02780,76.35370,32
2024-01-15T09:13:40Z,10.02795,76.35385,35
2024-01-15T09:13:50Z,10.02810,76.35400,40
2024-01-15T09:14:00Z,10.02825,76.35415,42
2024-01-15T09:14:10Z,10.02840,76.35430,45
2024-01-15T09:14:20Z,10.02855,76.35445,40
2024-01-15T09:14:30Z,10.02870,76.35460,35
2024-01-15T09:14:40Z,10.02885,76.35475,30
2024-01-15T09:14:50Z,10.02900,76.35490,25
2024-01-15T09:15:00Z,10.02915,76.35505,28
2024-01-15T09:15:10Z,10.02930,76.35520,32
2024-01-15T09:15:20Z,10.02945,76.35535,35
2024-01-15T09:15:30Z,10.02960,76.35550,40
2024-01-15T09:15:40Z,10.02975,76.35565,42
2024-01-15T09:15:50Z,10.02990,76.35580,45
2024-01-15T09:16:00Z,10.03005,76.35595,40
2024-01-15T09:16:10Z,10.03020,76.35610,35
2024-01-15T09:16:20Z,10.03035,76.35625,30
2024-01-15T09:16:30Z,10.03050,76.35640,25
